id,skin_r_forehead,skin_g_forehead,skin_b_forehead,skin_r_cheek,skin_g_cheek,skin_b_cheek,skin_r_jaw,skin_g_jaw,skin_b_jaw,skin_lab_l,skin_lab_a,skin_lab_b,undertone,skin_depth,tan_level,hair_r,hair_g,hair_b,eye_r,eye_g,eye_b,contrast_score,chroma_score,value_score,season,subseason,primary_colors,secondary_colors,neutral_colors,accent_colors,avoid_colors_strict,avoid_colors_soft
12,173,173,106,180,167,96,162,156,94,57,1,33,neutral,light,mild,45,11,4,70,40,31,0.504,0.271,0.573,Winter,cool_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
13,179,176,134,186,167,121,162,155,121,61,4,20,neutral,deep,mild,103,88,0,15,54,26,0.376,0.196,0.613,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
14,177,157,156,180,152,151,161,147,151,62,9,-2,neutral,light,none,98,61,55,50,33,23,0.349,0.071,0.625,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
15,174,185,177,175,185,167,160,170,161,68,-10,6,neutral,deep,heavy,93,47,49,46,42,47,0.45,0.078,0.682,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
16,172,200,161,180,194,153,155,183,143,68,-12,18,warm,deep,heavy,65,15,74,31,44,9,0.508,0.141,0.682,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
17,184,154,160,186,146,147,170,132,144,61,15,-3,neutral,medium,mild,83,59,76,44,27,20,0.336,0.118,0.62,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
18,199,140,124,202,134,113,178,123,110,58,29,8,warm,deep,none,40,29,0,20,48,33,0.497,0.29,0.58,Winter,cool_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
19,187,151,164,189,144,158,172,129,149,63,17,-9,cool,deep,none,27,3,51,66,37,1,0.534,0.137,0.635,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
20,216,174,184,226,169,169,202,156,167,73,23,-2,neutral,medium,none,56,52,0,66,15,12,0.598,0.184,0.731,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
21,174,134,168,175,134,159,158,125,154,60,15,-15,warm,medium,mild,69,53,16,28,19,0,0.44,0.122,0.605,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
22,208,180,149,210,179,137,191,166,134,68,10,18,neutral,light,heavy,15,69,75,64,42,27,0.511,0.227,0.681,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
23,172,183,188,177,181,175,153,168,170,69,-7,0,cool,deep,heavy,78,0,39,27,24,4,0.558,0.055,0.69,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
24,237,195,125,239,187,114,218,176,110,69,21,34,cool,medium,heavy,43,10,69,51,45,24,0.593,0.431,0.699,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
25,180,195,178,186,188,167,167,182,164,70,-6,8,neutral,medium,none,58,38,21,49,17,6,0.552,0.063,0.701,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
26,242,158,109,245,158,103,224,149,100,65,38,25,neutral,deep,heavy,82,15,0,16,46,40,0.534,0.498,0.655,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
27,238,186,177,244,179,169,229,171,167,76,27,2,cool,deep,mild,10,36,0,27,49,0,0.72,0.235,0.767,Winter,clear_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
28,181,177,147,186,169,137,161,154,134,63,3,13,cool,light,heavy,30,14,41,67,50,11,0.534,0.133,0.637,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
29,232,211,134,232,204,129,207,197,119,73,9,35,neutral,deep,mild,94,12,76,29,11,35,0.54,0.345,0.732,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
30,169,137,127,177,131,122,160,120,112,55,18,2,cool,medium,none,90,60,42,49,4,0,0.306,0.157,0.556,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
31,219,138,172,221,135,164,204,129,160,67,38,-17,cool,deep,none,35,88,0,54,57,32,0.563,0.298,0.673,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
32,228,147,158,230,139,143,212,129,137,66,40,-4,cool,light,heavy,55,0,33,14,25,9,0.554,0.318,0.663,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
33,234,156,151,237,153,139,219,142,136,68,37,4,warm,medium,mild,79,17,0,59,40,38,0.561,0.325,0.685,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
34,198,141,170,206,135,160,181,128,158,64,30,-15,neutral,deep,none,83,0,0,16,60,50,0.547,0.239,0.648,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
35,183,147,114,183,141,100,164,129,90,54,16,18,cool,medium,mild,62,29,43,64,21,43,0.384,0.267,0.548,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
36,213,146,104,215,141,96,198,136,89,58,32,20,cool,light,mild,22,9,25,58,55,39,0.54,0.408,0.584,Winter,cool_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
37,218,161,147,222,159,139,201,153,129,67,26,7,warm,deep,mild,33,73,74,47,6,38,0.477,0.267,0.673,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
38,194,176,143,201,176,138,184,169,138,66,7,16,cool,deep,mild,45,12,52,26,22,1,0.539,0.188,0.667,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
39,179,182,115,185,175,106,169,164,103,60,0,32,warm,light,heavy,12,45,42,22,39,22,0.498,0.251,0.603,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
40,184,174,147,187,166,140,169,159,135,63,5,10,neutral,deep,heavy,79,80,54,47,10,33,0.361,0.125,0.638,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
41,162,146,117,171,137,112,152,132,110,54,12,10,neutral,medium,none,66,28,30,58,30,34,0.383,0.173,0.542,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
42,167,160,163,171,154,156,149,142,149,62,3,-3,neutral,deep,none,92,29,44,44,46,0,0.419,0.027,0.622,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
43,170,187,125,177,182,116,155,174,108,61,-7,30,warm,medium,mild,108,2,16,14,46,0,0.491,0.239,0.614,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
44,199,169,179,203,162,170,184,151,168,69,15,-6,neutral,light,heavy,95,84,0,30,20,34,0.488,0.122,0.693,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
45,233,161,164,243,160,159,218,154,150,72,36,-2,cool,deep,heavy,100,31,0,52,7,20,0.561,0.286,0.728,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
46,242,192,115,245,191,102,229,180,97,69,22,42,cool,light,none,82,0,0,40,50,0,0.606,0.502,0.697,Winter,clear_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
47,218,207,120,220,199,108,200,189,100,68,5,43,neutral,deep,none,10,0,72,67,23,26,0.646,0.38,0.682,Summer,cool_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
48,169,166,150,179,156,143,163,146,143,61,6,4,cool,deep,heavy,68,57,41,67,50,22,0.402,0.082,0.618,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
49,182,167,116,187,166,102,167,152,93,58,5,29,cool,deep,none,12,39,32,12,53,41,0.502,0.275,0.588,Winter,cool_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
50,209,207,117,218,200,103,203,193,95,67,4,46,neutral,medium,heavy,99,10,53,12,27,38,0.512,0.392,0.675,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
51,222,198,177,228,195,168,211,182,162,76,11,11,neutral,deep,heavy,22,55,30,33,26,34,0.635,0.176,0.766,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
52,203,140,110,207,138,103,192,125,102,57,29,15,neutral,medium,heavy,89,77,26,47,21,39,0.337,0.349,0.579,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
53,217,149,153,223,149,143,199,139,137,66,32,0,neutral,medium,heavy,13,37,13,17,2,29,0.603,0.255,0.667,Winter,clear_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
54,177,190,142,182,184,127,159,170,121,63,-6,26,warm,light,none,72,38,2,36,22,38,0.498,0.204,0.638,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
55,200,160,119,200,158,106,182,150,104,60,16,23,warm,medium,none,48,17,28,24,5,2,0.491,0.31,0.6,Summer,cool_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
56,239,140,122,246,136,109,227,122,99,63,50,11,neutral,deep,mild,83,34,0,28,3,20,0.491,0.478,0.635,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
57,217,182,116,217,180,110,202,165,105,65,13,32,warm,deep,none,26,49,0,27,57,49,0.57,0.361,0.656,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
58,207,145,144,209,138,131,193,124,125,61,30,1,cool,deep,none,52,60,79,17,29,48,0.399,0.247,0.618,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
59,180,138,139,190,133,134,170,124,127,59,23,-3,cool,medium,mild,10,0,20,31,37,0,0.559,0.184,0.591,Winter,cool_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
60,203,138,132,206,130,127,185,121,124,59,33,-1,warm,deep,mild,14,38,0,43,46,0,0.551,0.259,0.599,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
61,218,211,152,218,210,137,193,201,132,73,-1,34,neutral,deep,none,43,56,12,45,11,48,0.591,0.267,0.732,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
62,224,151,155,231,148,141,211,134,138,67,36,1,warm,medium,mild,86,72,43,37,2,7,0.422,0.294,0.673,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
63,244,196,155,246,193,145,223,182,136,75,21,21,warm,deep,heavy,24,60,0,31,43,31,0.662,0.337,0.757,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
64,202,211,163,204,208,156,186,199,150,73,-7,23,warm,medium,heavy,23,22,73,47,32,38,0.607,0.184,0.736,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
65,226,132,176,231,132,162,212,127,160,67,44,-17,neutral,deep,none,15,39,0,49,13,5,0.637,0.349,0.68,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
66,223,168,154,230,161,148,205,153,142,69,29,4,warm,medium,none,46,19,0,15,21,34,0.616,0.263,0.698,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
67,183,182,172,189,175,158,171,170,153,67,2,6,neutral,medium,heavy,107,67,0,41,9,0,0.472,0.063,0.676,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
68,209,199,104,209,192,98,184,177,94,64,3,44,cool,light,heavy,25,89,78,47,32,27,0.462,0.376,0.646,Summer,cool_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
69,177,161,151,179,154,145,164,147,137,61,7,2,warm,deep,mild,69,0,31,57,24,17,0.496,0.075,0.618,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
70,174,173,123,182,165,112,161,152,109,59,3,24,neutral,light,heavy,63,82,55,24,56,27,0.341,0.216,0.593,Autumn,soft_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
71,209,204,127,217,194,115,201,183,105,68,6,37,neutral,medium,mild,108,54,80,68,20,0,0.399,0.341,0.681,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
72,226,196,121,234,194,113,218,182,103,70,15,38,warm,light,heavy,21,5,31,50,39,35,0.659,0.416,0.701,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
73,185,137,176,188,131,162,167,120,154,62,23,-18,neutral,light,mild,86,0,10,22,9,8,0.508,0.184,0.622,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
74,177,205,162,184,202,152,162,187,147,69,-14,22,warm,light,none,83,56,79,53,38,37,0.428,0.176,0.697,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
75,176,183,150,183,174,142,162,168,132,64,0,13,cool,deep,none,105,51,8,17,36,42,0.448,0.106,0.646,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
76,235,168,169,235,163,162,214,153,157,72,31,-2,neutral,deep,heavy,67,77,36,14,6,21,0.505,0.243,0.725,Spring,light_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
77,170,178,117,176,178,108,152,171,98,59,-6,32,warm,medium,none,72,25,0,45,51,0,0.481,0.255,0.597,Winter,cool_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
78,204,210,181,214,210,170,196,199,160,76,-3,17,warm,light,mild,23,42,16,59,53,0,0.666,0.137,0.77,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
79,197,157,172,197,152,157,174,140,147,65,17,-5,neutral,deep,none,104,66,0,69,13,10,0.457,0.137,0.655,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
80,205,199,122,205,193,113,183,187,103,66,1,37,warm,light,mild,55,23,0,62,54,0,0.567,0.302,0.661,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
81,168,191,124,176,188,115,151,175,112,61,-11,34,warm,light,heavy,91,0,0,42,57,6,0.534,0.267,0.62,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
82,212,181,136,213,171,124,198,166,122,65,16,21,warm,deep,heavy,15,7,59,29,35,0,0.588,0.29,0.658,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
83,232,151,147,233,147,141,208,137,137,67,38,0,warm,deep,mild,11,39,18,44,54,25,0.613,0.302,0.675,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
84,218,131,160,226,130,155,206,121,146,66,43,-15,neutral,medium,mild,27,51,14,25,32,5,0.57,0.337,0.661,Spring,warm_spring,"#FFD700,#FFA500","#FF69B4,#FF7F50","#FFFACD,#FAFAD2","#00FF7F,#FF4500",#708090,#2F4F4F
85,195,200,112,196,198,101,171,186,98,64,-6,46,warm,deep,heavy,58,48,0,37,54,25,0.508,0.361,0.641,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
86,200,171,127,208,169,120,186,161,118,64,14,22,warm,light,none,34,79,35,56,26,7,0.471,0.286,0.643,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
87,210,147,185,210,146,172,191,139,168,68,27,-15,neutral,medium,mild,30,2,14,21,13,40,0.626,0.212,0.684,Winter,clear_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
88,243,188,168,245,186,163,229,177,159,76,24,9,cool,deep,none,12,90,33,10,43,12,0.63,0.263,0.77,Winter,clear_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
89,194,179,155,194,173,149,169,164,144,66,5,9,warm,deep,mild,72,18,0,22,51,48,0.557,0.118,0.668,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
90,234,194,156,241,193,147,217,180,144,75,19,20,neutral,deep,none,39,76,48,48,15,42,0.562,0.31,0.753,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
91,229,143,144,237,141,129,222,132,120,65,43,3,cool,medium,mild,96,7,2,34,29,5,0.52,0.365,0.656,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
92,174,165,160,178,160,153,159,145,149,63,4,1,cool,light,heavy,37,0,31,53,3,4,0.55,0.039,0.635,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
93,177,150,143,183,147,138,161,141,129,60,13,2,neutral,medium,mild,80,28,70,22,31,13,0.38,0.118,0.605,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
94,185,161,145,192,152,138,175,144,130,62,15,4,cool,light,mild,60,73,15,41,7,20,0.439,0.153,0.624,Summer,soft_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
95,191,142,184,191,139,175,168,133,171,65,21,-20,cool,light,heavy,53,56,0,55,17,1,0.535,0.165,0.654,Winter,deep_winter,"#000000,#4B0082","#8B0000,#2F4F4F","#FFFFFF,#DCDCDC","#FF0000,#00FFFF",#FFDAB9,#FFE4E1
96,226,180,141,229,176,129,214,167,121,69,21,21,warm,deep,heavy,13,27,0,58,46,0,0.652,0.333,0.692,Autumn,deep_autumn,"#8B4513,#A0522D","#CD853F,#D2691E","#F5DEB3,#EEE8AA","#B22222,#FF8C00",#ADD8E6,#87CEFA
97,238,182,134,246,182,129,221,167,125,72,27,24,neutral,light,heavy,101,83,49,61,58,34,0.426,0.4,0.722,Summer,light_summer,"#ADD8E6,#87CEFA","#FFB6C1,#D8BFD8","#F0F8FF,#E6E6FA","#6495ED,#BA55D3",#8B4513,#654321
